SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3432, 0, 7353, 2, 115,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (2433, 0, 20553, 1, 442,2,4);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3436, 0, 7705, 1, 170,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3458, 0, 4856, 1, 39,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3461, 0, 4856, 1, 39,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3463, 0, 4856, 3, 39,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3465, 0, 4856, 4, 39,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3469, 0, 4856, 2, 39,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (430, 0, 19354, 1, 1069,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (430, 0, 20571, 1, 501,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (1353, 0, 20091, 1, 1263,1,4);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3503, 0, 21208, 1, 143,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (2484, 0, 5175, 1, 1848,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (1353, 0, 20091, 1, 1263,3,4);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (2210, 0, 15841, 1, 408,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (2316, 0, 6177, 1, 139,1,4);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (2316, 0, 3106, 1, 1361,1,4);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (2558, 0, 8026, 2, 417,3,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3372, 0, 8023, 1, 1298,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (1, 0, 8023, 1, 1298,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3264, 0, 19786, 3, 622,1,4);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3570, 0, 6095, 1, 633,3,4);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3571, 0, 3604, 1, 426,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (2932, 0, 3520, 1, 2242,3,4);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3232, 0, 19714, 1, 555,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (2687, 0, 4773, 1, 87,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3244, 0, 3542, 3, 1608,1,4);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3629, 0, 3622, 1, 624,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3232, 0, 6077, 1, 428,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (2543, 0, 6363, 1, 279,1,4);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3643, 0, 20784, 2, 142,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3649, 0, 6120, 1, 624,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (1631, 0, 6325, 1, 215,3,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3655, 0, 6363, 1, 279,3,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3659, 0, 5871, 1, 273,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3659, 0, 2158, 5, 850,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3674, 0, 19882, 1, 5500,1,4);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3675, 0, 20860, 1, 166,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (2685, 0, 20139, 6, 506,1,1);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (1302, 0, 6120, 1, 624,3,4);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3600, 0, 19435, 2, 320,1,4);
SQL запросINSERT INTO order_agent (user, status, product, QUANTITY, PRICE,PAY_SYSTEM_ID, DELIVERY_ID) VALUES (3684, 0, 2091, 1, 1045,1,1);
